sasdate,RPI,W875RX1,DPCERA3M086SBEA,CMRMTSPLx,RETAILx,INDPRO,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222S,IPFUELS,CUMFNS,HWI,HWIURATIO,CLF16OV,CE16OV,UNRATE,UEMPMEAN,UEMPLT5,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,CLAIMSx,PAYEMS,USGOOD,CES1021000001,USCONS,MANEMP,DMANEMP,NDMANEMP,SRVPRD,USTPU,USWTRADE,USTRADE,USFIRE,USGOVT,CES0600000007,AWOTMAN,AWHMAN,HOUST,HOUSTNE,HOUSTMW,HOUSTS,HOUSTW,PERMIT,PERMITNE,PERMITMW,PERMITS,PERMITW,AMDMNOx,AMDMUOx,BUSINVx,ISRATIOx,M1SL,M2SL,M2REAL,BOGMBASE,TOTRESNS,BUSLOANS,REALLN,NONREVSL,CONSPI,S&P 500,S&P: indust,S&P div yield,S&P PE ratio,FEDFUNDS,CP3Mx,TB3MS,TB6MS,GS1,GS5,GS10,AAA,BAA,COMPAPFFx,TB3SMFFM,TB6SMFFM,T1YFFM,T5YFFM,T10YFFM,AAAFFM,BAAFFM,EXSZUSx,EXJPUSx,EXUSUKx,EXCAUSx,WPSFD49207,WPSFD49502,WPSID61,WPSID62,OILPRICEx,PPICMM,CPIAUCSL,CPIAPPSL,CPITRNSL,CPIMEDSL,CUSR0000SAC,CUSR0000SAD,CUSR0000SAS,CPIULFSL,CUSR0000SA0L2,CUSR0000SA0L5,PCEPI,DDURRG3M086SBEA,DNDGRG3M086SBEA,DSERRG3M086SBEA,CES0600000008,CES2000000008,CES3000000008,DTCOLNVHFNM,DTCTHFNM,INVEST
1961-01-01,0.014128341232314767,0.007459498293392208,0.010521439003408517,-0.07598909576557489,-0.007712620002179094,-0.08832710524825416,-0.04878897895685519,-0.0420592135733906,-0.03949559634435307,-0.1709197875495838,0.007933126247702482,-0.07286879936158952,-0.14751393123055045,-0.2359033207745811,-0.04809988088094608,-0.09897315092061953,0.07202611430377281,0.04086769806867263,-11.452100000000002,-503.0,-0.23094861800000005,0.021305025790448795,0.006543497795499675,1.3999999999999995,0.1999999999999993,0.13992119072329334,0.34599611813246867,0.372505264760858,0.424541255168978,0.3194307707663615,0.321263926497636,-0.010948913067499788,-0.05174974952175049,-0.050219756979026364,-0.03777852289146999,-0.05395744070734665,-0.07799936663887586,-0.020049609966443782,0.011206841324955974,-0.005150691367248328,0.0005641961295355102,0.0020504341872129572,0.027269028115551208,0.030468837870502696,39.2,-0.8999999999999999,39.3,7.075808863978387,4.997212273764115,5.739792912179234,6.063785208687608,5.683579767338681,6.876264611890766,5.147494476813453,5.4638318050256105,5.616771097666572,5.655991810819852,-0.0956842744904538,-0.12679882835952228,0.016119911431649925,0.11364238400000004,-6.173659954100685e-05,0.012270117277395798,0.03607915861250088,-0.036019450112487306,0.03155327830462884,-0.05919042498256877,-0.08255484835262594,-0.05475256759965985,0.0069073540000000044,0.028706854468472542,0.014824532268451485,0.04292903100000034,0.02090421165130918,-2.54,-1.9300000000000002,-2.1099999999999994,-2.27,-2.22,-1.25,-0.8799999999999999,-0.29000000000000004,-0.2400000000000002,1.53,0.79,1.02,1.36,2.22,2.39,2.87,3.65,-0.004679509083626687,-0.003956363159217879,0.0023545371371391788,0.04100661868472574,0.014992784586141283,0.02391695062674115,-0.013029362042387582,0.03871451218069044,0.010050335853501569,-0.10814396857281672,0.0035428830478152484,0.004235470932057783,-0.03366020149263527,-0.0057503268846490485,0.002927321813329442,-0.02879309782928008,-0.005230053422820902,-0.017198734030284157,0.0030041368156408232,0.006500008948909564,-0.0011073116927953208,-0.008597098286868388,0.011925564405013578,-0.010594853945667726,-0.01911258055373133,0.008908107050284886,-0.02918592989046853,-0.10142452862952922,-0.048694499562525806,0.1602653606505262
1961-02-01,0.016869718509247456,0.006631766413135232,0.009789234800234858,-0.07817130432168184,-0.014980306370190988,-0.08060465703668074,-0.041913740271338984,-0.038624184578640364,-0.022131519922888643,-0.16252112232153992,0.0249741535597936,-0.08868126663764997,-0.1420104531322095,-0.23505851151091983,-0.037336874642050155,-0.09609541256725418,0.07329281588451186,0.07082712370602406,-11.098799999999997,-528.0,-0.29343558499999994,0.02111021285600323,-0.00048777514533426825,2.1000000000000005,0.5,0.35310463667035474,0.3080250020460147,0.5209996142807167,0.6003823024146078,0.43833012172783725,0.471931223231163,-0.017692698030002063,-0.06245618844512002,-0.06673130322589937,-0.05556049272216157,-0.06309754694197167,-0.09240779183492087,-0.021774290365053517,0.006595595454783165,-0.012567409200689994,-0.00331051389548076,-0.007666458266518461,0.024050045415126675,0.030866282917564547,39.2,-0.6999999999999997,39.4,7.111512116496157,5.420534999272286,5.5909869805108565,6.095824562432225,5.662960480135946,6.8679744089702925,5.170483995038151,5.5254529391317835,5.552959584921617,5.62040086571715,-0.06772270749701192,-0.10113315879045182,0.002657173323568074,0.08264900700000011,0.00849791624317131,0.022371775482523226,0.04443462137883536,-0.020466869708569035,0.06475737172009666,-0.06898797842826143,-0.07376239897648373,-0.061933984322346536,0.004861571000000009,0.10845718608190325,0.09759554683847238,-0.286376282,0.11995576846824774,-1.4300000000000002,-1.6300000000000003,-1.54,-1.6999999999999997,-1.73,-1.0300000000000002,-0.7100000000000004,-0.29000000000000004,-0.2699999999999996,0.49,-0.12,0.06,0.39,1.12,1.24,1.73,2.53,-0.003880629465719876,-0.004677325623975825,-0.001213592381958506,0.03925304343948799,0.020981148514724435,0.02981667275392974,-0.012987058621096281,0.035649359703221695,0.010050335853501569,-0.11398338877948522,0.00047610019022714667,-0.006809753805191221,-0.026891695468316268,-0.005718800551308245,0.008906399510062002,-0.02615108836644131,-0.009293813126552308,-0.013848647145002335,0.0030041368156408232,-0.00017779358212033358,-0.0012993193763728428,-0.01089986844414792,0.01273404742979345,-0.011057591352623852,-0.019021898943945237,-0.002522521170715275,-0.0336636432211298,-0.12784604549120893,-0.0667968584562626,0.21222903694194262
1961-03-01,0.019088367353836233,0.010642560736941142,0.008050576054421832,-0.02656357171568935,-0.0033685873994180326,-0.06552239517992975,-0.033741677012677496,-0.036283772759137634,-0.023284285201384147,-0.14255650915654883,0.01581918036986041,-0.0919946168179222,-0.11666824197986037,-0.20163305146351362,-0.018120991722323065,-0.07637241628084723,0.022930941063917132,0.00791312949343137,-9.3784,-412.0,-0.20238086100000002,0.03312980017839884,0.018035624445369436,1.5,1.0999999999999996,0.11176254787480122,0.2760070408712778,0.42235332613668586,0.39318708633975596,0.4556972335944982,0.21476654306052012,-0.01470709960397798,-0.04946659172840562,-0.0669015352724367,0.010015625081009283,-0.0593441660856211,-0.0868843215004187,-0.020661566169119183,0.003982822254467777,-0.009580695120023464,-0.005414361249193256,0.0008250677561640885,0.0212606433275484,0.010037432544448777,39.1,-0.6000000000000001,39.5,7.179307969504034,5.424950017481403,5.749392985908253,6.059123195581797,5.8377304471659395,6.907755278982137,5.303304908059076,5.43372200355424,5.641907070938114,5.662960480135946,-0.05445259314831041,-0.08442449263307594,-0.01114602058418157,0.010331125999999857,0.014194190829493358,0.02721999485535065,0.04702459143355142,-0.01844059232412043,0.0654640186585147,-0.08068966161024305,-0.06839701385483421,-0.0672010222810302,0.0038096960000000013,0.15305957224492417,0.14439450488189376,-0.5004135059999997,0.1792319914006968,-1.8199999999999998,-1.4600000000000004,-0.9199999999999999,-1.0699999999999998,-1.1399999999999997,-0.7099999999999995,-0.5099999999999998,-0.27000000000000046,-0.23000000000000043,1.01,0.37,0.52,0.86,1.58,1.72,2.2,3.0,-0.0037192368779004337,-0.004677325623975825,-0.0029981819225348705,0.037662434229886715,-3.585707370712399e-05,-0.0030339344629464193,-0.009735023234718643,0.012609949160607759,0.0,-0.09282020756750997,-0.0005589180149878636,-0.006809753805191221,-0.013434205951907696,-0.010083219844677416,-8.019925062541233e-05,-0.015713910912380946,-0.017679569646624316,-0.013848647145002335,0.0030041368156408232,-0.00017779358212033358,-0.0023806022703332097,-0.003216039016677108,0.006252174944352706,-0.010058955338000608,-0.023308446627976265,-0.0750364422708808,-0.023954829094168906,-0.15507893093769987,-0.08422946735996462,0.23161137239583685
1961-04-01,0.01776447434802808,0.010488038903074148,-0.006758443026628758,-0.06555284401471617,-0.04713158868123557,-0.03721464269427166,-0.020763159741197246,-0.020882981217133167,-0.006879977188074093,-0.07136959765019002,0.014548934539377889,-0.0707010166180746,-0.06347515763759448,-0.11961173864581287,0.0037176217580872084,-0.045486776572562615,0.04062936190695776,-0.021146910104710592,-6.87639999999999,-369.0,-0.20801308199999996,0.009839474146305704,-0.008908710972033163,1.7999999999999998,2.9000000000000004,-0.0034642066976688923,0.3535763358320265,0.5785677133512896,0.5375617802570272,0.6210005177627673,0.24497935081510036,-0.021874719507641416,-0.053553108873984456,-0.08004270767353638,-0.04111331524562356,-0.054411530498857275,-0.07759313872533014,-0.02191652563269919,-0.00487515491800572,-0.02750487964911663,-0.010626613714623367,-0.027929082853203724,0.020813631776275265,0.011070438760361512,39.1,-0.09999999999999964,39.5,7.061334366910438,5.429345628954441,5.501258210544727,6.028278520230698,5.627621113690637,6.90975328164481,5.3230099791384085,5.3612921657094255,5.676753802268282,5.676753802268282,0.014054214563520517,-0.05690496515995136,-0.011251578255160766,0.04132450300000001,0.018465920709426875,0.03000263319018881,0.05477673683558315,-0.016425060170909944,0.07586156938257727,-0.08946532265697549,-0.05882620083468648,-0.09405227636017788,0.0016916680000000073,0.16655705989834058,0.15803529733003607,-0.5400600230000001,0.21049948006482877,-2.4299999999999997,-1.25,-0.94,-1.0799999999999996,-1.1600000000000001,-0.7200000000000002,-0.5000000000000004,-0.20000000000000018,-0.1900000000000004,1.42,0.8,0.98,1.39,2.08,2.29,2.76,3.52,-0.003208793454669401,0.0014422021169044896,-0.004065916151325455,0.02664091982458658,-0.006006024060211335,-0.005970166986504211,-0.006504070772755277,0.009129225305000599,0.0,-0.08997960134004224,-0.010040709623951205,-0.011142176553242233,-0.010061521473268442,-0.014716969080692976,-0.006041455526901274,-0.01049878409821936,-0.009251182796500945,-0.013744499162196444,-0.003416414444855409,-0.006833373767469286,-0.008219902981680072,-0.002470629549094383,-0.010289948341271948,-0.008665925064911928,-0.005343131681832758,0.0007483876997402827,-0.009918887553295952,-0.18142317902617933,-0.10010316785970197,0.2350414291055296
1961-05-01,0.023075525922520157,0.014016108939137517,0.019677635108028557,-0.005629181340864875,-0.017161193427432053,-0.02078764420748236,-0.01948199145056906,-0.019573530315795562,-0.0011383474655595194,-0.049436977868259735,0.017818501773128048,-0.07278704925005686,-0.024431046684926017,-0.06005196371940613,0.016125169773177905,-0.024373712289697202,0.07947306159062739,0.013499270179710976,-5.115100000000012,-281.0,-0.20249195400000003,0.01179356606865234,-0.009246792270380055,2.0,3.6999999999999993,0.017311453671280397,0.2876820724517808,0.7492594597715856,0.7065375206195297,0.792189578365809,0.12151930400790079,-0.012728670575164358,-0.04491875786360744,-0.0695867235727281,-0.05267057299855438,-0.0421605036211794,-0.05745998683412701,-0.020661566169119183,0.004604635502129639,-0.016356032627513173,-0.007627171539325239,-0.011067306639681362,0.02234072927460584,0.027142517899681806,39.3,-0.3999999999999999,39.7,7.113142108707088,5.438079308923196,5.594711379601839,6.133398042996649,5.5909869805108565,6.934397209928558,5.389071729816501,5.402677381872279,5.66988092298052,5.69035945432406,0.014209484776721126,-0.03962257341825648,-0.01650307214623048,-0.01033112600000008,0.02981210794659006,0.039055002787474535,0.05932892519832844,-0.016425060170909944,0.05948031461925307,-0.0890444384439415,-0.04463662976434479,-0.08989418373295655,0.0007029799999999919,0.18587674115979969,0.17851873131259932,-0.6080055719999997,0.2398619032139382,-1.87,-1.4900000000000002,-1.0,-1.13,-1.3399999999999999,-1.02,-0.6399999999999997,-0.1900000000000004,-0.27000000000000046,0.78,0.31,0.47,0.89,1.49,1.73,2.29,3.03,0.000993840581958949,0.003973063951357325,-0.0042857208454991635,0.009665843174577278,-0.00599700599251296,-0.014938836969264901,-0.003273187097023289,-0.007183353730830344,0.0,-0.06257223488517294,-0.008996702436615767,-0.011117404563014688,0.003327640448091973,-0.010033119768266818,-0.0030339344629464193,-2.741190499211399e-05,-0.01328226447294556,-0.006952068085941843,-0.009816419906197194,-0.006833373767469286,-0.009183056716989935,0.0017880672334502634,-0.011434010063486433,-0.011112049246050582,-0.005315441246425023,-0.014451953940311735,-0.005342220525884289,-0.19134746977634265,-0.10836444002426227,0.22304235732065525
1961-06-01,0.0317195931995613,0.022238178336999148,0.022314490185404434,0.0037594652250927396,-0.008390277132889423,0.005773204831122758,0.002293707299322989,0.0011543964542068963,0.017016368354530798,-0.00596448893280499,0.027857226926902623,-0.05163702761628297,0.0069874486884655695,-0.003546679929022911,0.025174709996797162,0.0023141331197513715,0.05838372272756276,-0.012592433556121385,-2.8995000000000033,-220.0,-0.153426744,0.013408149057323016,-0.002648286594064686,1.5,4.299999999999999,0.057573875407740616,0.18274447919399872,0.6592052501315582,0.45654003804457943,0.8516175215317201,0.030448392180456807,-0.006849784455939201,-0.032862590543262016,-0.05981849521091043,-0.031157278190134363,-0.03186133465159813,-0.04391114084269532,-0.014983325807969905,0.007123932096682495,-0.013911696810760432,-0.006354479843445837,-0.007787446722668179,0.023070426919280962,0.029908771392571865,39.6,-0.10000000000000009,40.0,7.231287004327616,5.572154032177765,5.645446897643238,6.202535517187923,5.834810737062605,6.975413927455952,5.3981627015177525,5.393627546352362,5.720311776607412,5.780743515792329,0.018108955482034617,-0.03249653870297031,-0.019664445978600398,-0.05165562900000009,0.03476002933841915,0.042749055302396144,0.06255300737722358,-0.016263537269772144,0.0484075915559683,-0.08137737536494871,-0.024428874541173595,-0.08929773660824569,-0.0011927379999999987,0.13627822786298616,0.12918195406617272,-0.44910295999999983,0.19967581591862515,-1.5899999999999999,-0.8999999999999999,-0.1299999999999999,-0.20000000000000018,-0.2999999999999998,-0.31000000000000005,-0.27000000000000046,-0.1200000000000001,-0.22999999999999954,1.18,0.6,0.81,1.33,2.08,2.15,2.6,3.3,0.0013432457611528559,0.0018078064141384687,-0.004613329594640003,0.023042726018496423,-0.009004527056467815,-0.011940333973008421,-0.013029500290333562,-0.0008768559324701108,0.0,-0.05938782668798481,-0.009292751133907817,-0.00889270954090371,0.010016778243471247,-0.0009947320626566558,-0.0030339344629464193,0.007843177461025697,-0.01328226447294556,-0.00018263172363797153,-0.006564384519819555,-0.0034606892888300322,-0.006752980581646195,0.010711240299809965,-0.010429011830759727,-0.009248010765543047,-0.000977039647826694,0.0007744933909796803,0.0040097682734695494,-0.1944555601458955,-0.11483432095764279,0.23283016097936038
1961-07-01,0.03277593396154188,0.02269228695395853,0.017254068925385724,-0.009401929601432713,0.0009373363859488393,0.020687783713606134,0.0160339354127359,0.01382411287138341,0.03517135542973149,0.05061492865304684,0.029984411947308498,-0.03379228679408586,0.019641007528267806,0.015141850881868368,0.03899265016493336,0.017288973255504825,0.045141074300806494,0.033825296290813434,-1.6188000000000073,-114.0,-0.12231757700000001,0.011277484240526547,-0.004577363010898949,1.5,4.700000000000001,0.04574840039312811,0.13564065305638984,0.6866112095801595,0.47646066471383897,0.9072499872220066,0.03840126540412214,-0.003375483934313195,-0.02803674780010823,-0.03155899160544706,-0.0404473145550055,-0.02522964121262561,-0.03376798045817253,-0.013257769945649756,0.009827462658460462,-0.010284258437073035,-0.003493158095918325,-0.005949092034505554,0.02184174191504873,0.03285860097907545,39.7,0.10000000000000009,40.0,7.19668657083435,5.556828061699537,5.594711379601839,6.1779441140506,5.783825182329737,6.9874902470009905,5.4680601411351315,5.429345628954441,5.730099782973574,5.736572297479192,0.036690004516582775,-0.010363517633571462,-0.021395135614007188,-0.04132450399999987,0.029717282431477088,0.03860953748806395,0.05584032120977955,-0.020156694479931403,0.042670394744567464,-0.06622565678838788,-0.011806893724632062,-0.08746497767382833,-0.002094462000000019,0.15864323384037515,0.1545122780955266,-0.5173801239999998,0.2170693531431529,-2.06,-0.6699999999999999,-0.05999999999999961,-0.2599999999999998,-0.28000000000000025,0.04999999999999982,0.020000000000000018,0.0,-0.1299999999999999,1.55,1.07,1.28,1.75,2.67,2.75,3.24,3.92,0.0006025771944635494,0.007574397056655968,-0.007505664457684524,0.055163783335906186,-0.018000198292626113,-0.017892838899213448,-0.00978800636616306,-0.003750966530551736,0.0,-0.05957837287559542,-0.001185421801436437,-0.008872985729042604,0.01998940588924647,-0.009983511238334852,0.0058815337107609444,0.013065192640957513,-0.017297202870882433,-0.00692800068091648,-0.00016333030528059567,0.003184733615064772,-0.006097100550486179,0.01177569020709246,-0.009347324591845396,-0.008899143866071935,-0.00988574034658718,-0.01752217224427588,0.008544923438860708,-0.18687557164028057,-0.12050124076396074,0.19450343387638824
1961-08-01,0.034938817541538825,0.029497251645225653,0.02173998663640564,0.027168667793626256,0.0084850653045212,0.03091082804594114,0.025141650927163806,0.020667220368449257,0.03952777382486872,0.04189782541833997,0.038700579269411506,-0.01583829827148575,0.04358515490515913,0.04163043743513617,0.06305153371642991,0.03557690121542656,0.0644625684337301,0.025401737384008083,-0.07219999999999516,-32.0,-0.074398658,0.009873633196216147,-0.0006527663100772685,1.0,4.800000000000001,-0.026111144003685638,0.07482921271870424,0.575970756993744,0.37069610900879013,0.7862376036259571,-0.1287374116823088,0.0004789536795986038,-0.020090551495581366,-0.057727168541044094,-0.02417138955396414,-0.017535667542235345,-0.024728696287899865,-0.007425581161525585,0.01147878026438498,-0.010013163811768422,-0.0072345184268503004,-0.004875697543180735,0.02178226921937121,0.03388581343411445,39.7,0.10000000000000009,40.1,7.179307969504034,5.455321115357702,5.556828061699537,6.220590170099739,5.755742213586912,7.055312843339752,5.707110264748875,5.41610040220442,5.765191102784844,5.749392985908253,0.03504385175278557,-0.007988955764286487,-0.014734006828430068,-0.08264900700000011,0.01968703998470911,0.030459322149465784,0.05417384975389172,-0.012160162565603372,0.04253039558433391,-0.049820566972651914,-0.004783793157534522,-0.07764763539015807,-0.002247565000000007,0.18199707780112195,0.1786735946303839,-0.5692739959999997,0.24606853663286632,-0.98,-0.41999999999999993,0.0900000000000003,0.07000000000000028,0.10999999999999988,0.33999999999999986,0.2400000000000002,0.16999999999999993,0.03000000000000025,0.92,0.39,0.66,1.06,1.96,2.04,2.45,3.11,0.0015067400479207294,0.009010620912717648,-0.0026010597052201767,0.06167330060769271,-0.012048338516174262,-0.017973412724279214,-0.00978800636616306,0.052972551183799954,0.0,-0.06879502798051984,-0.0035453621408780833,-0.006658145399489612,0.023284301786099082,-0.000985826312876803,-7.972256551491697e-05,0.0130787915149706,-0.00894121569124584,-0.003509193932130561,-0.00016333030528059567,-0.0034487716369229204,-0.007174017678694522,0.008294411991897732,-0.011313484024258358,-0.008556737398676795,-0.014435273337802146,-0.02096335860355647,-0.0058798811176770105,-0.1759127447250357,-0.12108513332622017,0.18631203920448414
1961-09-01,0.03485835730610898,0.031159247990498073,0.02261094116138196,0.016952969107148164,0.011162906690730168,0.04030754003436998,0.03101694088143203,0.021930400420517415,0.027398812754649615,-0.0037216787013707453,0.03665222026807591,0.007896704262414733,0.0623750322780392,0.06819233834072902,0.0665854447282288,0.0382201725929332,0.061687018507524005,-0.012382686525211906,0.23749999999999716,62.0,-0.05786631799999997,0.0009403853422984554,-0.011016134710732928,1.2000000000000002,3.200000000000001,0.10303222589823502,0.06695727537239371,0.4440850873032183,0.28477086224432213,0.5951509932315284,-0.06839802564303632,0.002964601904290376,-0.017307971690241786,-0.0475525402490824,-0.013952923317479105,-0.01644233030391362,-0.02319401429144996,-0.006958750206432995,0.013780079126686218,-0.007942280016679959,-0.0039304548157037544,-0.005002565501133205,0.02134759895234417,0.03493704080143445,39.2,0.30000000000000027,39.5,7.264730177929867,5.720311776607412,5.655991810819852,6.234410725718371,5.793013608384144,7.001245622069476,5.420534999272286,5.459585514144159,5.752572638825633,5.7745515455444085,0.026489144155796396,-0.011729793819030832,-0.012172238456846785,-0.06198675500000017,0.016828685546832034,0.027502597860989297,0.05382968137382793,0.009874738813074657,0.04211148535012654,-0.04631942583720505,1.4653760442406849e-05,-0.07533204624726109,-0.00268291499999998,0.2046930472540982,0.20137626241444462,-0.6436801139999999,0.26723746143483096,-0.7200000000000002,-0.3400000000000003,-0.20000000000000018,-0.1499999999999999,-0.009999999999999787,0.29000000000000004,0.18000000000000016,0.20000000000000018,0.11000000000000032,1.17,0.4,0.8,1.18,2.02,2.1,2.57,3.24,0.002249719734015443,0.009010620912717648,-0.00017778093879616819,0.058214588132653525,-0.00299850299625648,-0.008924168916452757,-0.00978800636616306,0.039509133094711935,0.0,-0.050517827876820576,0.00018578212531705773,-0.006643403556317207,0.04337534261549214,-0.000977039647826583,0.005908319279107843,0.026205913303577244,-0.012958402236851185,-0.00018140383945608463,0.0030676902761661573,-9.868475164109825e-05,-0.004578279650218953,0.021484241899030643,-0.010690325461955918,-0.007392389648962716,-0.014435273337802146,-0.009850090833927405,-0.01939118931465056,-0.17346159218224955,-0.11938388712174941,0.1733845101803606
1961-10-01,0.04171528122189638,0.03867156184830023,0.024013618381001578,0.03428022197580738,0.020248525669783746,0.060486392914559595,0.04202621700672271,0.03649075037842753,0.04370664130631763,0.0395934229539785,0.04381897809617108,0.01473033096414511,0.08371343494649386,0.08579773236628485,0.0994329694796674,0.05964939946746428,0.07170717852072084,0.028509505020700487,2.0241000000000042,220.0,0.022288993000000035,0.008662503589924597,0.004363333693270022,0.40000000000000036,2.4000000000000004,0.025162076719507986,0.004669269183684044,0.2196049175770174,0.05617701571505407,0.3731463168529965,-0.19571273188302385,0.0069940651740303394,-0.00778667493418439,-0.053222595458978006,-0.007129549805895863,-0.005794445658848346,-0.00948088365791655,-0.0006322111795835639,0.014864814585585862,-0.006135542120439652,-0.0004866453387446512,-0.004369164992212404,0.02327490635448992,0.03501831201157124,40.0,0.30000000000000027,40.3,7.254884810077338,5.572154032177765,5.676753802268282,6.236369590203704,5.855071922202427,7.023758954738443,5.459585514144159,5.429345628954441,5.783825182329737,5.814130531825066,0.11098936655907465,0.008447978295611946,-0.009544358964880928,-0.09298013299999996,0.01961415397000721,0.024551478741679844,0.059793067979149406,0.009906899843647565,0.036066476791290825,-0.043541471375777796,0.0037818382307737153,-0.06708141499424958,-0.0034436140000000115,0.23553620043537693,0.22728260103401787,-0.717492692,0.3069559064989895,-0.2100000000000004,-0.2999999999999998,0.0,-0.06999999999999984,0.009999999999999787,0.040000000000000036,0.029999999999999805,0.1200000000000001,0.019999999999999574,0.74,0.04,0.4,0.79,1.54,1.66,2.16,2.87,0.0033599456943278483,0.009010620912717648,0.0013506310921147513,0.051574239898739854,-0.0299049953472168,-0.04161527332722548,-0.013072081567353067,0.01972651834682715,0.0,-0.06519095649890172,-0.005835225034720448,-0.010995962401508574,0.04670313270816662,-0.000977039647826583,-3.522149920698325e-05,0.026205913303577244,-0.004655310659785528,0.0032257544821581163,-0.003311900460034156,-0.006710261020640207,-0.004544766899396535,0.02154957182140471,-0.01281107184917385,-0.005544188453231236,-0.014681566064644547,-0.00945571155486613,-0.010666250642842434,-0.15748402167257503,-0.10512859573645095,0.13444718651534338
